,hhcode,age,idc,sex,marital_status,ever_admitted,currently_enrolled,region,subprovince code,province,subprovince,year
251,1012020206,5,52,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
252,1012020207,10,2,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
253,1012020207,8,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
254,1012020209,12,3,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
255,1012020209,9,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
256,1012020209,6,54,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
257,1012020210,9,52,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
258,1012020210,8,53,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
259,1012020210,4,54,female,1,no,no,rural,1012,Punjab,Attock ,2011
260,1012020211,8,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
261,1012020211,6,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
262,1012020211,5,54,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
263,1012020213,10,2,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
264,1012020213,7,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
265,1012020213,5,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
266,1012020216,11,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
267,1012020216,10,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
268,1012020216,8,54,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
269,1012020216,6,55,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
270,1012020216,4,56,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
271,1012030104,10,3,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
272,1012030105,10,5,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
273,1012030106,13,2,male,1,no,no,rural,1012,Punjab,Attock ,2011
274,1012030110,4,53,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
275,1012030110,5,56,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
276,1012030111,10,52,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
277,1012030111,8,53,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
278,1012030111,6,54,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
279,1012030111,5,55,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
280,1012030112,11,3,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
281,1012030112,14,52,female,1,yes,no,rural,1012,Punjab,Attock ,2011
282,1012030113,14,2,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
283,1012030113,12,6,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
284,1012030113,14,56,female,1,yes,yes,rural,1012,Punjab,Attock ,2011
285,1012030113,9,57,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
286,1012030114,15,2,male,1,yes,yes,rural,1012,Punjab,Attock ,2011
